2/28/2020;1;;;;
2/29/2020;0;;;;
3/1/2020;0;;;;
3/2/2020;0;;;;
3/3/2020;0;;;;
3/4/2020;3;;;;
3/5/2020;3;;;;
3/6/2020;6;;;;
3/7/2020;7;;;;
3/8/2020;5;;;;
3/9/2020;5;;;;
3/10/2020;12;;;;
3/11/2020;16;;;;
3/12/2020;23;;;;
3/13/2020;25;;;;
3/14/2020;34;;;;
3/15/2020;48;;;;
3/16/2020;65;;;;
3/17/2020;61;;;;Max
3/18/2020;54;;;;
3/19/2020;78;;;;Min
3/20/2020;80;;;;
3/21/2020;80;;;;
3/22/2020;65;;;;
3/23/2020;65;;;;
3/24/2020;52;;;;
3/25/2020;82;;;;
3/26/2020;71;;;;
3/27/2020;79;;;;
3/28/2020;65;;;;
3/29/2020;58;;;;
3/30/2020;63;;;;
3/31/2020;49;;;;
4/1/2020;102;;;;
4/2/2020;53;;;;
4/3/2020;57;;;;
4/4/2020;88;;;;
4/5/2020;71;;;;
4/6/2020;90;;;;
4/7/2020;59;;;;
4/8/2020;79;;;;
4/9/2020;60;;;;
4/10/2020;99;;;;
4/11/2020;76;;;;
4/12/2020;73;;;;
4/13/2020;56;;;;
4/14/2020;65;;;;
4/15/2020;90;;;;
4/16/2020;121;;;;
4/17/2020;71;;;;
4/18/2020;114;;;;
4/19/2020;86;;;;
4/20/2020;116;;;;
4/21/2020;87;;;;
4/22/2020;77;;;;
4/23/2020;102;;;;
4/24/2020;95;;;;
4/25/2020;100;;;;
4/26/2020;124;;;;
4/27/2020;91;;;;
4/28/2020;139;;;;
4/29/2020;123;;;;
4/30/2020;116;;;;
5/1/2020;207;;;;
5/2/2020;160;;;;
5/3/2020;148;;;;
5/4/2020;154;;;;
5/5/2020;200;;;;
5/6/2020;240;;;;
5/7/2020;164;;;;
5/8/2020;228;;;;
5/9/2020;222;;;;
5/10/2020;346;;;;
5/11/2020;298;;;;
5/12/2020;282;;;;
5/13/2020;302;;;;
5/14/2020;280;;;;
5/15/2020;305;;;;
5/16/2020;298;;;;
5/17/2020;294;;;;
5/18/2020;409;;;;
5/19/2020;410;;;;
5/20/2020;484;;;;
5/21/2020;344;;;;
5/22/2020;416;;;;
5/23/2020;412;;;;
5/24/2020;371;;;;
5/25/2020;459;;;;
5/26/2020;367;;;;
5/27/2020;442;;;;
5/28/2020;431;;;;
5/29/2020;444;;;;
5/30/2020;420;;;;
5/31/2020;428;;;;
6/1/2020;736;;;;
6/2/2020;599;;;;
6/3/2020;499;;;;
6/4/2020;497;;;;
6/5/2020;645;;;;
6/6/2020;677;;;;
6/7/2020;523;;;;
6/8/2020;711;;;;
6/9/2020;640;;;;
6/10/2020;997;;;;
6/11/2020;842;;;;
6/12/2020;896;;;;
6/13/2020;731;;;;
6/14/2020;689;;;;
6/15/2020;846;;;;
6/16/2020;1045;;;;
6/17/2020;1215;;;;
6/18/2020;1203;;;;
6/19/2020;1238;;;;
6/20/2020;1692;;;;
6/21/2020;1187;;;;
6/22/2020;1219;;;;
6/23/2020;1516;;;;
6/24/2020;1611;;;;
6/25/2020;1814;;;;
6/26/2020;2071;;;;
